word,translation,ipa,example,exampleTranslation,level,topic
Good afternoon!,добрый день,/gʊd ˌæftərˈnun/,"Good afternoon, class.","Добрый день, класс",A1,Общение
Good evening!,добрый вечер,/gʊd ˈivnɪŋ/,"Good evening, friends.","Добрый вечер, друзья",A1,Общение
good for you,полезно для тебя,/gʊd fər ju/,Vegetables are good for you.,Овощи полезны для тебя,A1,Тело и здоровье
Good morning!,доброе утро,/gʊd ˈmɔrnɪŋ/,"Good morning, everyone!","Доброе утро, все!",A1,Общение
Good night!,спокойной ночи,/gʊd naɪt/,"Good night, sleep well.","Спокойной ночи, выспись хорошенько",A1,Общение
good-looking,"красивый, приятной внешности",/ˈgʊˌdlʊkɪŋ/,He is tall and good-looking.,Он высокий и привлекательный.,A2,Люди
Goodbye!,до свидания,/ˌgʊdˈbaɪ/,"Goodbye, have a nice day.","До свидания, хорошего дня",A1,Общение
grade,"класс (уровень), оценка",/greɪd/,He is in the fifth grade.,Он в пятом классе,A2,Учеба
graduate,выпускник,/ˈgræʤəˌweɪt/,He is a university graduate.,Он выпускник университета,A2,Учеба
grain,зерно,/greɪn/,Wheat is a kind of grain.,Пшеница — это разновидность зерна.,C2,Еда
gram,грамм,/græm/,Add 50 grams of sugar.,Добавьте 50 граммов сахара,A2,Описания
grammar,грамматика,/ˈgræmər/,English grammar is not easy.,Английская грамматика не проста,A2,Общение
grandchild,"внук, внучка",/ˈgrænˌʧaɪld/,She has three grandchildren.,У неё трое внуков,A2,Семья
granddad,дедушка,/ˈgrænˌdæd/,My granddad is funny.,Мой дедушка смешной,A2,Семья
granddaughter,внучка,/ˈgrænˌdɔtər/,My granddaughter is five.,Моей внучке пять лет,A2,Семья
grandfather,дедушка,/ˈgrænˌfɑðər/,My grandfather tells stories.,Мой дедушка рассказывает истории,A2,Семья
grandma,бабушка,/ˈgrændmɑ/,I visit my grandma often.,Я часто навещаю бабушку,A2,Семья
grandmother,бабушка,/ˈgrændˌməðər/,My grandmother bakes well.,Моя бабушка хорошо печёт,A2,Семья
grandpa,дедушка,/ˈgrændˌpɑ/,Grandpa is in the garden.,Дедушка в саду,A2,Семья
grandparent,бабушка или дедушка,/ˈgrændˌpɛrənt/,All my grandparents are kind.,Все мои бабушки и дедушки добрые,A2,Семья
grandson,внук,/ˈgrændˌsən/,My grandson is tall.,Мой внук высокий,A2,Семья
granny,бабуля,/ˈgræni/,"Hello, granny!","Здравствуй, бабушка!",A2,Семья
grape,виноград,/greɪp/,She bought a bunch of grapes.,Она купила кисть винограда.,A2,Еда
grass,трава,/græs/,The grass is green.,Трава зелёная,A1,Природа
gray,серый цвет,/greɪ/,His hair is turning gray.,Его волосы седеют,A2,Описания
great,отличный,/greɪt/,That's a great idea!,Это отличная идея!,A1,Описания
great,"большой, значительный",/greɪt/,It was a great success.,Это был большой успех,A2,Описания
green,зелёный цвет,/grin/,Green is a natural color.,Зелёный — это натуральный цвет,A2,Описания
grill,гриль,/grɪl/,Put the burgers on the grill,Положи бургеры на решётку гриля.,B1,Еда
grill,готовить на гриле,/grɪl/,Grill the fish for two to three minutes on each side,Жарьте рыбу по две-три минуты с каждой стороны.,B1,Еда
grilled,приготовленный на гриле,/grɪld/,I'll have grilled chicken.,Я возьму курицу-гриль.,A2,Еда
grocery store,продуктовый магазин,/ˈgroʊsəri stɔr/,I buy food at the grocery store.,Я покупаю еду в продуктовом магазине,A2,Места
group,группа (музыкальная),/grup/,The group has four singers.,В группе четыре певца.,A1,Музыка
group,группа,/grup/,We work in a group.,Мы работаем в группе,A1,Описания
grow — grew — grown,выращивать (растения),/groʊ/,We grow vegetables.,Мы выращиваем овощи.,A2,Действия
grow up,взрослеть,/groʊ əp/,Kids grow up so fast!,Дети так быстро растут!,A2,Эмоции
guess,"догадываться, предполагать",/gɛs/,I guess he is tired.,"Полагаю, он устал",A2,Общение
Guess what?,Угадай что?,/gɛs wət/,Guess what? I got the job!,Угадай что (я сейчас скажу)? Я получил работу!,A2,Общение
guest,гость,/gɛst/,We have guests tonight.,У нас сегодня гости,A2,Отношения
guide,"гид, экскурсовод",/gaɪd/,Our guide speaks English.,Наш гид говорит по-английски,A2,Профессия
guidebook,путеводитель,/ˈgaɪdˌbʊk/,I bought a guidebook.,Я купил путеводитель,A2,Транспорт
guided tour,экскурсия с гидом,/ˈɡaɪdɪd tʊə/,The guided tour lasts two hours.,,S,Туризм
guitar,гитара,/gɪˈtɑr/,He plays the guitar well.,Он хорошо играет на гитаре.,A1,Хобби и спорт
guy,парень,/gaɪ/,He's a nice guy.,Он хороший парень.,A2,Люди
gym,физкультура,/ʤɪm/,We have gym on Mondays.,У нас физкультура по понедельникам,A2,Учеба
hair,волосы,/hɛr/,She has long hair.,У неё длинные волосы.,A1,Люди
half,половина,/hæf/,Half of the apple is mine.,Половина яблока моя,A2,Описания
half price,половина цены,/hæf praɪs/,I bought it half price.,Я купил это за полцены,A2,Покупки
half-price,за полцены,/ˌhæfˈpraɪs/,A half-price sale.,Распродажа за полцены,A2,Покупки
hall,зал (здание),/hɔl/,The concert hall is huge.,Концертный зал огромный,A2,Места
ham,ветчина,/hæm/,"I'd like a ham sandwich, please.","Мне, пожалуйста, бутерброд с ветчиной.",A2,Еда
hand,рука (кисть),/hænd/,Wash your hands before dinner.,Мой руки перед ужином,A1,Тело и здоровье
handball,гандбол,/ˈhændˌbɔl/,Handball is a team sport.,Гандбол — командный вид спорта,A2,Хобби и спорт
happen — happened,"случаться, происходить",/ˈhæpən/,What happened?,Что случилось?,A2,Общение
happy,счастливый,/ˈhæpi/,I am happy today.,,A1,Эмоции
happy,"счастливый, довольный",/ˈhæpi/,I am happy to see you.,Я рад тебя видеть,A1,Эмоции
happy,довольный,/ˈhæpi/,Are you happy with your job?,Ты доволен своей работой?,A2,Эмоции
Happy birthday!,с днём рождения,/ˈhæpi ˈbərθˌdeɪ/,Happy birthday to you!,С днём рождения тебя!,A1,Общение
Happy New Year!,с Новым годом,/ˈhæpi nu jɪr/,Happy New Year to all!,С Новым годом всех!,A1,Общение
happy to do something,рад что-то сделать,/ˈhæpi tɪ du ˈsəmθɪŋ/,I'm happy to help.,Я рад помочь,A2,Эмоции
hard,трудный,/hɑrd/,This test is hard.,Этот тест сложный,A1,Описания
hard,"усердно, упорно",/hɑrd/,I work hard every day.,Я усердно работаю каждый день,A1,Описания
hard,твёрдый,/hɑrd/,The table is hard.,Стол твёрдый,A2,Описания
has been to,(бывать где-то),/həz bɪn tɪ/,She has been to Paris.,Она была в Париже,A2,Служебные слова
hat,"шляпа, шапка",/hæt/,He is wearing a red hat.,На нём красная шапка,A1,Одежда
hate,ненавидеть,/heɪt/,I hate Mondays.,Я ненавижу понедельники,A2,Эмоции
have,"есть, пить",/hæv/,I have lunch at noon.,Я обедаю в полдень.,A1,Еда
have,"иметь, болеть (чем-то)",/hæv/,I have a cold.,Я простудился,A1,Тело и здоровье
have,иметь (вспом.),/hæv/,I have read this book.,Я прочитал эту книгу,A2,Служебные слова
have,родить,/hæv/,She is going to have a baby.,У неё будет ребёнок,A2,Тело и здоровье
have — had — had,иметь,/hæv/,I have two brothers.,У меня два брата.,A1,Отношения
have (got) to do something,приходится делать,/hæv tɪ du ˈsəmθɪŋ/,I have to study.,Я должен учиться,A2,Служебные слова
have a meeting,провести встречу,/hæv ə ˈmitɪŋ/,We have a meeting today.,У нас сегодня встреча.,A2,Действия
have a talk,провести разговор,/hæv ə tɔk/,Let's have a talk.,Давай поговорим.,A2,Действия
have an appointment,иметь назначенную встречу,/hæv ə əˈpɔɪntmənt/,I have an appointment at 3.,У меня встреча в 3 часа.,A2,Действия
have fun,хорошо провести время,/hæv fən/,Have fun at the party!,Хорошо повеселиться на вечеринке!,A2,Эмоции
he,он,/hi/,He is my brother.,Он мой брат,A1,Местоимения
"he, etc. had better do something",лучше бы сделать,"/hi, ˌɛtˈsɛtərə. hæd ˈbɛtər du ˈsəmθɪŋ/",He had better call her.,Ему лучше позвонить ей,A2,Служебные слова
head,голова,/hɛd/,My head hurts.,У меня болит голова,A1,Тело и здоровье
headache,головная боль,/ˈhɛˌdeɪk/,I have a headache.,У меня болит голова,A2,Тело и здоровье
health,здоровье,/hɛlθ/,Health is important.,Здоровье важно,A2,Тело и здоровье
healthy,"здоровый, полезный",/ˈhɛlθi/,Apples are healthy.,Яблоки полезны,A2,Тело и здоровье
hear — heard — heard,слышать,/hir/,I can hear music.,Я слышу музыку.,A1,Хобби и спорт
heart,сердце,/hɑrt/,The heart is an organ.,Сердце — это орган,A2,Тело и здоровье
heat,"тепло, жар",/hit/,Feel the heat from the fire.,Почувствуй тепло от огня.,A2,Дом
heavy,тяжёлый,/ˈhɛvi/,This box is heavy.,Эта коробка тяжёлая,A2,Описания
helicopter,вертолёт,/ˈhɛlɪˌkɑptər/,The helicopter landed.,Вертолёт приземлился,A2,Транспорт
hello,алло (по телефону),/hɛˈloʊ/,"Hello, who is calling?","Алло, кто звонит?",A1,Общение
hello,привет,/həˈləʊ/,"Hello, how are you?","Привет, как дела?",A1,Отношения
Hello!,"привет, здравствуйте",/hɛˈloʊ/,"Hello, nice to meet you.","Здравствуйте, приятно познакомиться",A1,Общение
help — helped,помоги(те),/hɛlp/,Help me please.,Помогите мне пожалуйста.,A1,Общение
help — helped,помогать гл.,/hɛlp/,Could you help me?,Вы могли бы мне помочь?,A2,Общение
Help!,Помогите!,/hɛlp/,Help! I can't swim!,Помогите! Я не умею плавать!,A2,Общение
her,"её, ей",/hər/,I gave her a present.,Я подарил ей подарок,A1,Местоимения
here,здесь,/hir/,I am here now.,Я сейчас здесь,A1,Описания
here,вот (давая),/hir/,Here is your ticket.,Вот ваш билет,A2,Общение
here it is,вот оно,/hir ɪt ɪz/,"Here it is, your book.","Вот она, твоя книга",A2,Общение
here you are,"вот, пожалуйста",/hir ju ər/,"Here you are, your coffee.","Вот пожалуйста, твой кофе",A2,Общение
hers,её (притяжат.),/hərz/,This bag is hers.,Эта сумка её,A2,Местоимения
herself,себя (о ней),/hərˈsɛlf/,She bought herself a gift.,Она купила себе подарок,A2,Местоимения
hey,эй,/heɪ/,"Hey, wait for me!","Эй, подожди меня!",A2,Общение
Hi!,привет,/haɪ/,"Hi, how are you?","Привет, как дела?",A1,Общение
high,"высокий (о здании, горе)",/haɪ/,The mountain is very high.,Гора очень высокая,A2,Описания
high in,с высоким содержанием чего-л.,/hɑɪ/,Avoid foods that are high in salt,Избегайте продуктов с высоким содержанием соли.,C1,Еда
high school,старшая школа,/haɪ skul/,He's in high school.,Он в старшей школе,A2,Учеба
highway,"шоссе, автострада",/ˈhaɪˌweɪ/,Take the highway to the city.,Поезжай по шоссе в город,A2,Транспорт
hiking,"пеший туризм, походы",/ˈhaɪkɪŋ/,We go hiking in summer.,Мы ходим в походы летом,A2,Путешествие
hill,холм,/hɪl/,The house is on a hill.,Дом на холме,A2,Природа
him,"его, ему",/ɪm/,Give it to him.,Дай это ему,A1,Местоимения
himself,себя (о нём),/hɪmˈsɛlf/,He made dinner himself.,Он сам приготовил ужин.,A2,Местоимения
hip-hop,хип-хоп,/ˈhɪˌphɔp/,He listens to hip-hop.,Он слушает хип-хоп.,A2,Музыка
his,его,/hɪz/,This is his car.,Это его машина,A1,Местоимения
his,его (притяжат.),/hɪz/,This pen is his.,Эта ручка его,A2,Местоимения
history,история (предмет),/ˈhɪstəri/,I love history class.,Я люблю урок истории,A2,Учеба
hit — hit — hit,ударять,/hɪt/,Don't hit your brother!,Не бей своего брата!,A2,Отношения
hobby,"хобби, увлечение",/ˈhɑbi/,Reading is my hobby.,Чтение — моё хобби,A2,Хобби и спорт
hockey,хоккей,/ˈhɑki/,Hockey is popular in Russia.,Хоккей популярен в России,A2,Хобби и спорт
hold — held — held,держать (в руке),/hoʊld/,"Hold my bag, please.","Подержи мою сумку, пожалуйста.",A2,Общение
holiday,"праздник, выходной",/ˈhɑlɪˌdeɪ/,New Year is a holiday.,Новый год — праздник.,A1,Деньги и работа
home,дом (домашний очаг),/hoʊm/,I am going home now.,Я сейчас иду домой.,A1,Дом
home,домой,/hoʊm/,I'm going home.,Я иду домой,A2,Транспорт
homework,домашнее задание,/ˈhoʊmˌwərk/,I have a lot of homework.,У меня много домашнего задания,A1,Учеба
honey,мёд,/ˈhʌn.i/,Tea with honey and lemon is good for a sore throat,Чай с мёдом и лимоном хорошо помогает при боли в горле.,A2,Еда
hope,надеяться,/hoʊp/,I hope to see you soon.,Надеюсь скоро увидеться,A2,Эмоции
horrible,ужасный,/ˈhɔrəbəl/,The smell is horrible.,Запах ужасный,A2,Описания
horse,лошадь,/hɔrs/,The horse is running fast.,Лошадь бежит быстро,A1,Природа
hospital,больница,/ˈhɑˌspɪtəl/,My sister works in a hospital.,Моя сестра работает в больнице,A1,Места
hospitality,гостеприимство,/ˌhɒspɪˈtælɪti/,Hospitality is the core of the tourism industry.,,S,Туризм
hot,острый (о еде),/hɑt/,The people here prefer eating very hot and spicy food.,Здешние люди предпочитают есть очень острую и пряную пищу.,B1,Еда
hot,"горячий, жаркий",/hɑt/,The coffee is hot.,Кофе горячий,A1,Описания
hot chocolate,горячий шоколад,/ˈtʃɑk.lət/,"Two hot chocolates and a cappuccino, please","Два горячих шоколада и капучино, пожалуйста.",A2,Еда
hotel,отель,/hoʊˈtɛl/,We stayed at a nice hotel.,Мы остановились в хорошем отеле,A1,Места
hour,час,/aʊər/,One hour has sixty minutes.,В одном часе шестьдесят минут.,A1,Время
house,дом,/haʊs/,My house is big.,,A1,Дом
house,дом,/haʊs/,My house is big.,Мой дом большой.,A1,Дом
house,дом (здание),/haʊs/,My house has two floors.,В моём доме два этажа.,A1,Дом
housewife,домохозяйка,/ˈhaʊsˌwaɪf/,She is a housewife.,Она домохозяйка,A2,Профессия
how,"как, сколько",/haʊ/,How are you?,Как дела?,A1,Вопросительные слова
how,как (о самочувствии),/haʊ/,How are you feeling?,Как ты себя чувствуешь?,A2,Тело и здоровье
How about...?,Как насчёт...?,/haʊ əˈbaʊt.../,How about a coffee?,Как насчёт кофе?,A2,Общение
How are you?,как дела?,/haʊ ər ju/,How are you today?,Как твои дела сегодня?,A1,Общение
How do you do?,Здравствуйте (при знакомстве),/haʊ du ju du/,How do you do? Nice to meet you.,"Здравствуйте, рад познакомиться",A2,Общение
how many,сколько,/haʊ ˈmɛni/,How many brothers do you have?,Сколько у тебя братьев?,A1,Вопросительные слова
however,однако,/ˌhaʊˈɛvər/,"However, I'm tired.",Однако я устал,A2,Служебные слова
hundred,сто,/ˈhənərd/,There are a hundred people here.,Здесь сто человек,A2,Числа
hunger,чувство голода,/ˈhʌŋ.gər/,Hunger is the best sauce.,Голод — лучшая приправа (пословица).,B1,Еда
hungry,голодный,/ˈhʌŋ.gri/,By four o'clock I was hungry.,К четырём часам я очень проголодался.,A1,Еда
hurry — hurried,"спешить, торопиться",/ˈhəri/,"Hurry up, we're late!","Поторопись, мы опаздываем!",A2,Общение
hurt,болеть (о боли),/hərt/,My head hurts.,У меня болит голова,A2,Тело и здоровье
husband,муж,/ˈhəzbənd/,Her husband is a teacher.,Её муж — учитель,A1,Семья
I,я,/aɪ/,I am a student.,Я студент,A1,Местоимения
I am a student,я студент,/aɪ æm ə ˈstudənt/,I am a student at university.,Я студент университета,A1,Общение
I am Russian,я русский,/aɪ æm ˈrəʃən/,"I am Russian, from Moscow.","Я русский, из Москвы",A1,Общение
I don't mind,Я не против,/aɪ doʊnt maɪnd/,I don't mind waiting.,Я не против подождать,A2,Общение
I mean,я имею в виду,/aɪ min/,"I mean, it's a good idea.","Я имею в виду, это хорошая идея",A2,Общение
I suppose,я полагаю,/aɪ səˈpoʊz/,I suppose you are right.,"Полагаю, ты прав",A2,Общение
ice,лёд,/aɪs/,Ice is very cold.,Лёд очень холодный,A2,Природа
ice cream,мороженое,/ˈɑɪs.kriːm/,My favorite is a vanilla ice cream.,Мое любимое - это ванильное мороженое.,A1,Еда
ice hockey,хоккей с шайбой,/aɪs ˈhɑki/,Ice hockey is fast.,Хоккей на льду быстрый,A2,Хобби и спорт
ID,удостоверение личности,/ˌaɪˈdi/,"Show me your ID, please.","Покажите ваше удостоверение личности, пожалуйста",A2,Общение
ID card,удостоверение личности,/ˈaɪˈdi kɑrd/,I lost my ID card.,Я потерял своё удостоверение личности,A2,Общение
idea,"идея, предложение",/aɪˈdiə/,That's a great idea!,Это отличная идея!,A2,Общение
identification,удостоверение,/aɪˌdɛntəfəˈkeɪʃən/,Please show identification.,"Пожалуйста, предъявите удостоверение личности",A2,Общение
if,если,/ɪf/,"If it rains, we stay home.","Если пойдёт дождь, мы останемся дома",A2,Служебные слова
if not,если нет,/ɪf nɑt/,"If not, we'll call later.","Если нет, мы позвоним позже",A2,Служебные слова
if you like,если хотите,/ɪf ju laɪk/,"We can go now, if you like.","Мы можем идти сейчас, если хочешь",A2,Общение
immediately,немедленно,/ˌɪˈmiˌdiətli/,Come here immediately!,Иди сюда немедленно!,A2,Время
important,важный,/ˌɪmˈpɔrtənt/,This is an important day.,Это важный день,A1,Описания
не,улучшать(ся),/ˌɪmˈpruv/,I want to improve my English.,Я хочу улучшить свой английский.,A2,Свой путь
in,в течение,/ɪn/,I will finish in an hour.,Я закончу через час,A1,Служебные слова
in,"в, внутри",/ɪn/,The cat is in the box.,Кошка в коробке,A1,Служебные слова
in,"в, внутрь",/ɪn/,Come in!,Входи!,A2,Описания
in,в составе,/ɪn/,What's in the soup?,Что в супе?,A2,Описания
in the morning,утром,/ɪn ðə ˈmɔrnɪŋ/,I wake up early in the morning.,Я просыпаюсь рано утром.,A1,Время
include,включать (в себя),/ˌɪnˈklud/,The price includes tax.,Цена включает налог,A2,Служебные слова
including,включая,/ˌɪnˈkludɪŋ/,"All of us, including Tom.","Все мы, включая Тома",A2,Служебные слова
indoor,в помещении,/ˈɪnˌdɔr/,Indoor games are fun.,В помещении играть весело,A2,Описания
inedible,несъедобный,/ɪˈned.ə.bəl/,Some mushrooms are inedible,Некоторые грибы несъедобны,C1,Еда
information,информация,/ˌɪnˌfɔrˈmeɪʃən/,I need more information.,Мне нужно больше информации,A2,Общение
ingredient,ингредиент в пище,/ɪnˈgriːd.iː.ənt/,The list of ingredients included 1/2 cup of almonds,В списке ингредиентов было полстакана миндаля.,B1,Еда
insect,насекомое,/ˈɪnˌsɛkt/,This is a small insect.,Это маленькое насекомое.,A2,Животные
inside,внутри,/ˌɪnˈsaɪd/,It is warm inside.,Внутри тепло,A1,Служебные слова
inside,внутри (контейнера),/ˌɪnˈsaɪd/,Look inside the box.,Загляни внутрь коробки,A2,Описания
instead,вместо этого,/ˌɪnˈstɛd/,Let's walk instead.,Давай лучше пойдём пешком,A2,Служебные слова
instructions,"инструкция, указания",/ˌɪnˈstrəkʃənz/,Read the instructions.,Прочитайте инструкции,A2,Общение
instrument,музыкальный инструмент,/ˈɪnstrəmənt/,The guitar is my favorite instrument.,Гитара — мой любимый инструмент.,A2,Хобби и спорт
interested,заинтересованный,/ˈɪntəˌrɛstɪd/,Are you interested in art?,Ты интересуешься искусством?,A2,Эмоции
interesting,интересный,/ˈɪntəˌrɛstɪŋ/,This book is very interesting.,Эта книга очень интересная,A1,Эмоции
international,международный,/ˌɪnərˈnæʃənɑl/,An international flight.,Международный рейс,A2,Описания
into,"в, внутрь",/ˈɪntu/,Come into the house.,Зайди в дом,A1,Служебные слова
into,в (изменение),/ˈɪntu/,Water turned into ice.,Вода превратилась в лёд,A2,Служебные слова
invitation,приглашение,/ˌɪnvɪˈteɪʃən/,Thanks for the invitation.,Спасибо за приглашение,A2,Общение
invite,приглашать,/ˌɪnˈvaɪt/,I want to invite you to my party.,Я хочу пригласить тебя на свою вечеринку,A1,Общение
island,остров,/ˈaɪlənd/,The island is small.,Остров маленький,A2,Природа
it,"это, оно",/ɪt/,It is very cold today.,Сегодня очень холодно,A1,Местоимения
it,"он/она/оно (предмет, животное, младенец)",/ɪt/,The baby — it is sleeping.,Ребёнок — он спит.,A1,Местоимения
it,"это (о времени, погоде)",/ɪt/,It's cold today.,Сегодня холодно,A2,Местоимения
IT,информационные технологии,/ɪt/,He works in IT.,Он работает в ИТ,A2,Технологии
it is raining,сейчас идёт дождь,/ɪt ɪz ˈreɪnɪŋ/,"Look, it is raining outside.","Смотри, на улице дождь",A1,Природа
it rains,обычно идёт дождь,/ɪt reɪnz/,It rains a lot in spring.,Весной много дождей,A1,Природа
itinerary,маршрут/план поездки,/aɪˈtɪnərəri/,Send the clients their itinerary by email.,,S,Туризм
its,"его, её (предмета)",/ɪts/,The dog lost its ball.,Собака потеряла свой мяч,A1,Местоимения
itself,само себя (о предмете),/ˌɪtˈsɛlf/,The door closed itself.,Дверь закрылась сама,A2,Местоимения
jacket,"куртка, пиджак",/ˈʤækɪt/,This jacket is warm.,Эта куртка тёплая,A1,Одежда
jam,"варенье, джем",/dʒæm/,Bread with jam.,Хлеб с джемом.,A2,Еда
January,январь,/ˈʤænjuˌɛri/,January is the first month.,Январь — первый месяц,A1,Месяцы
jazz,джаз,/ʤæz/,She loves jazz music.,Она любит джазовую музыку.,A2,Музыка
jeans,джинсы,/ʤinz/,I love these blue jeans.,Я люблю эти синие джинсы,A1,Одежда
jelly,"желе, джем",/ˈʤɛli/,I like fruit jelly.,Я люблю фруктовое желе.,A2,Еда
jewelry,"украшения, ювелирные изделия",/ˈʤuəlri/,She loves jewelry.,Она любит украшения,A2,Одежда
job,работа (должность),/ʤɑb/,He has a good job.,У него хорошая работа.,A1,Деньги и работа
job,"задача, работа",/ʤɑb/,I have a small job to do.,У меня небольшое дело.,A2,Бизнес
join — joined,"присоединиться, вступить",/ʤɔɪn/,Join us for dinner.,Присоединяйся к нам на ужин.,A2,Дом
journey,путешествие,/ˈdʒɜːni/,A long journey home.,Долгий путь домой.,A2,Путешествия
journey,путешествие/путь,/ˈdʒɜːni/,A journey of self-discovery.,Путь самопознания.,B1,Абстрактные
journey,путешествие,/ˈdʒɜːni/,A long journey Home.,Долгий путь Домой,A2,Путешествие
juice,сок,/dʒuːs/,"I'd like a glass of orange juice, please.","Стакан апельсинового сока, пожалуйста.",A1,Еда
July,июль,/ˌʤuˈlaɪ/,We go on holiday in July.,Мы едем в отпуск в июле,A1,Месяцы
jump — jumped,прыгать,/ʤəmp/,The cat jumps high.,Кот прыгает высоко.,A2,Действия
June,июнь,/ʤun/,School ends in June.,Школа заканчивается в июне,A1,Месяцы
junk food,нездоровая еда,/ˈdʒʌŋkˌfuːd/,He eats a lot of junk food.,Он ест много нездоровой еды.,B2,Еда
just,"только что, недавно",/ʤɪst/,I just arrived.,Я только что приехал.,A2,Время
just now,только что,/ʤɪst naʊ/,He left just now.,Он только что ушёл.,A2,Время
juxtapose,сопоставлять,/ˈdʒʌkstəpəʊz/,Juxtapose old and new styles.,,C2,Искусство
keep — kept — kept,"хранить, держать",/kip/,I keep my keys here.,Я держу свои ключи здесь.,A2,Дом
keep (something) in,хранить в,/kip ˈsəmθɪŋ ɪn/,Keep the milk in the fridge.,Держи молоко в холодильнике.,A2,Действия
keep (something) on,хранить на,/kip ˈsəmθɪŋ ɔn/,Keep your glasses on the table.,Держи свои очки на столе.,A2,Действия
kettle,чайник,/ˈket̬.əl/,Put the kettle on and make some tea.,Поставь чайник и завари чай.,B1,Еда
key,ключ (от замка),/ki/,I can't find my keys.,Я не могу найти свои ключи.,A1,Дом
key,ключ (ответы),/ki/,Check the answer key.,Проверьте ключ к ответам,A2,Учеба
keyboard,клавишные,/ˈkiˌbɔrd/,He plays the keyboard.,Он играет на клавишных.,A2,Хобби и спорт
kick,"удар ногой, пинок сущ.",/kɪk/,He gave the ball a kick.,Он пнул мяч.,A2,Действия
kick — kicked,пинать гл.,/kɪk/,Don't kick the ball here.,Не пинай мяч здесь.,A1,Хобби и спорт
kid,ребёнок,/kɪd/,The kids are playing.,Дети играют.,A2,Люди
kill — killed,убивать,/kɪl/,The cat killed a mouse.,Кот убил мышь.,A2,Действия
kilo,кило,/ˈkɪˌloʊ/,"Two kilos of apples, please.","Два килограмма яблок, пожалуйста",A2,Описания
kilogram,килограмм,/ˈkɪləˌgræm/,I bought a kilogram of sugar.,Я купил килограмм сахара,A2,Описания
kilometer,километр,/ˈkɪləˌmitər/,The city is ten kilometers away.,Город в десяти километрах отсюда,A2,Описания
kind,"вид, сорт",/kaɪnd/,What kind of music do you like?,Какую музыку ты любишь?,A1,Описания
kind,добрый,/kaɪnd/,She is a kind person.,Она добрая,A2,Эмоции
king,король,/kɪŋ/,The king lives in the castle.,Король живёт в замке,A2,Политика
kiss — kissed,поцелуй / целовать,/kɪs/,She gave him a kiss.,Она поцеловала его.,A2,Отношения
kitchen,кухня,/ˈkɪʧən/,Mom is in the kitchen.,Мама на кухне.,A1,Дом
kite,воздушный змей,/kaɪt/,Kids fly kites in the park.,Дети запускают воздушных змеев в парке,A2,Хобби и спорт
knife,нож,/nɑɪf/,I prefer to eat with a knife and fork.,Я предпочитаю есть ножом и вилкой.,A1,Еда
know,знать (иметь информацию),/noʊ/,I know his name.,Я знаю его имя,A1,Общение
know,знать (спрашивать),/noʊ/,Do you know the time?,"Ты знаешь, сколько времени?",A1,Общение
know — knew — known,уметь,/noʊ/,Do you know how to swim?,Ты умеешь плавать?,A2,Хобби и спорт
lake,озеро,/leɪk/,The lake is deep.,Озеро глубокое,A2,Природа
lamp,лампа,/læmp/,Turn on the lamp.,Включи лампу.,A2,Дом
language,язык (английский и т.д.),/ˈlæŋgwɪʤ/,English is a beautiful language.,Английский — красивый язык,A1,Общение
language,школа языков,/ˈlæŋgwɪʤ/,She goes to a language school.,Она ходит в языковую школу,A2,Учеба
laptop,ноутбук,/ˈlæpˌtɑp/,I work on my laptop.,Я работаю на своём ноутбуке,A2,Технологии
large,"большой, крупный",/lɑrʤ/,I live in a large house.,Я живу в большом доме,A2,Описания
last,последний,/læst/,This is the last chance.,Это последний шанс.,A2,Время
last Monday,в прошлый понедельник,/læst ˈmənˌdeɪ/,I called her last Monday.,Я звонил ей в прошлый понедельник.,A1,Время
last name,фамилия,/læst neɪm/,What's your last name?,Как твоя фамилия?,A2,Люди
last night,вчера вечером,/læst naɪt/,I slept well last night.,Я хорошо спал прошлой ночью.,A1,Время
last week,на прошлой неделе,/læst wik/,I was sick last week.,На прошлой неделе я болел.,A1,Время
last year,в прошлом году,/læst jɪr/,We visited Italy last year.,В прошлом году мы посетили Италию.,A1,Время
late,"поздний, опоздавший",/leɪt/,I am late for school.,Я опаздываю в школу.,A1,Время
late,поздний (к концу),/leɪt/,It was late at night.,Было поздно ночью.,A1,Время
late,поздно,/leɪt/,He came home late.,Он пришёл домой поздно.,A2,Время
later,позже,/ˈleɪtər/,See you later!,Увидимся позже!,A2,Время
latest,самый последний,/ˈleɪtəst/,The latest news is sad.,Последние новости печальные.,A2,Время
laugh — laughed,смеяться,/læf/,We laughed a lot.,Мы сильно смеялись.,A2,Отношения
layover,пересадка/стоянка,/ˈleɪˌoʊvər/,We have a 3-hour layover in Dubai.,,S,Туризм
lazy,ленивый,/ˈleɪzi/,He is a lazy student.,Он ленивый ученик,A2,Эмоции
learn,"учить, учиться",/lərn/,I want to learn English.,Я хочу выучить английский,A1,Учеба
leather,кожа (материал),/ˈlɛðər/,A leather jacket.,Кожаная куртка,A2,Одежда
leave — left — left,"уходить, покидать",/liv/,I leave home at seven.,Я выхожу из дома в семь.,A1,Действия
leave — left — left,оставить (для кого-то),/liv/,Leave a note for her.,Оставь для неё записку.,A2,Отношения
leek,лук-порей,/liːk/,I made potato and leek soup.,Я приготовил суп из картофеля с луком-пореем.,B2,Еда
left,левый / налево,/lɛft/,Turn left at the corner.,Поверни налево на углу,A2,Описания
left,левая сторона,/lɛft/,There is a bed on the left from my desk.,Слева от моего стола стоит кровать,A2,Описания
